"time","I0","Ii","Iy"
9.66,300,-123.71963330593651,337.4115490964511
9.68,300,-123.71098787848,337.401449310628
9.7,300,-123.70238810341817,337.3914028734379
9.72,300,-123.693833736939,337.3814095026083
9.74,300,-123.6853245363817,337.37146891733903
9.76,300,-123.67686026022633,337.3615808382921
9.78,300,-123.66844081341432,337.3517450288883
9.8,300,-123.66006589962583,337.34196119647095
9.82,300,-123.65173522894139,337.33222905132067
9.84,300,-123.64344856723886,337.32254832068793
9.86,300,-123.63520568161486,337.31291873327496
9.88,300,-123.62700634037726,337.30334001922586
9.9,300,-123.61885031303724,337.2938119101182
9.92,300,-123.61073737030173,337.2843341389544
9.94,300,-123.60266728406566,337.2749064401523
9.96,300,-123.59463982740408,337.2655285495364
9.98,300,-123.58665477456469,337.25620020432973
10,300,-123.57871190096,337.24692114314377
10.02,300,-123.57081098315948,337.23769110597055
10.04,300,-123.56295179888203,337.22850983417317
10.06,300,-123.55513412698826,337.219377070477
10.08,300,-123.5473577474726,337.2102925589613
10.1,300,-123.53962244145569,337.20125604504983
10.12,300,-123.53192799117674,337.19226727550216
10.14,300,-123.52427417998557,337.18332599840437
10.16,300,-123.51666079233506,337.1744319631611
10.18,300,-123.50908761377356,337.1655849204857
10.2,300,-123.5015544309368,337.15678462239214
10.22,300,-123.49406103154054,337.1480308221853
10.24,300,-123.48660720437255,337.1393232744529
10.26,300,-123.47919273928507,337.1306617350562
10.28,300,-123.47181742718713,337.12204596112105
10.3,300,-123.46448118481392,337.11347571378104
10.32,300,-123.45718370178952,337.10495075038494
10.34,300,-123.44992477288044,337.096470831816
10.36,300,-123.44270419487655,337.08803572020855
10.38,300,-123.43552176565969,337.0796451789184
10.4,300,-123.42837728419724,337.07129897251514
10.42,300,-123.42127055053575,337.0629968667719
10.44,300,-123.41420136579467,337.0547386286581
10.46,300,-123.40716953215993,337.0465240263288
10.48,300,-123.40017485287756,337.0383528291174
10.5,300,-123.39321713224756,337.03022480752594
10.52,300,-123.38629617561728,337.0221397332164
10.54,300,-123.3794117893752,337.01409737900195
10.56,300,-123.37256378094455,337.00609751883815
10.58,300,-123.36575195877705,336.99813992781395
10.6,300,-123.35897613234643,336.99022438214286
10.62,300,-123.35223611214214,336.9823506591543
10.64,300,-123.34553170966304,336.9745185372842
10.66,300,-123.33886273741099,336.96672779606723
10.68,300,-123.33222900888455,336.9589782161266
10.7,300,-123.32563033857264,336.9512695791662
10.72,300,-123.31906654194805,336.94360166796133
10.74,300,-123.3125374354613,336.9359742663501
10.76,300,-123.30604283653419,336.9283871592243
10.78,300,-123.29958256355346,336.9208401325207
10.8,300,-123.29315642802466,336.913333003646
10.82,300,-123.28676423425486,336.90586562267674
10.84,300,-123.2804058222896,336.8984377056406
10.86,300,-123.27408101391134,336.8910490441204
10.88,300,-123.2677896318185,336.8836994307668
10.9,300,-123.26153149961885,336.8763886592902
10.92,300,-123.25530644182278,336.8691165244536
10.94,300,-123.2491142838367,336.861882822064
10.96,300,-123.24295485195627,336.85468734896614
10.98,300,-123.23682797335988,336.84752990303406
11,300,-123.23073347610189,336.8404102831634
11.02,300,-123.22467118910593,336.8333282892644
11.04,300,-123.21864094215827,336.82628372225355
11.06,300,-123.21264256590125,336.81927638404693
11.08,300,-123.20667589182635,336.81230607755157
11.1,300,-123.2007407522679,336.8053726066584
11.12,300,-123.19483698039599,336.79847577623497
11.14,300,-123.18896441021018,336.79161539211697
11.16,300,-123.18312287653254,336.78479126110136
11.18,300,-123.17731221500115,336.7780031909383
11.2,300,-123.17153226206342,336.771250990324
11.22,300,-123.16578285496936,336.7645344688929
11.24,300,-123.16006383176493,336.75785343720963
11.26,300,-123.1543750312854,336.7512077067623
11.28,300,-123.14871629314858,336.74459708995374
11.3,300,-123.14308745774841,336.7380214000954
11.32,300,-123.1374883662479,336.73148045139817
11.34,300,-123.13191886057288,336.7249740589658
11.36,300,-123.12637878340497,336.71850203878716
11.38,300,-123.12086797817517,336.712064207728
11.4,300,-123.11538628905699,336.7056603835243
11.42,300,-123.10993356096003,336.69929038477375
11.44,300,-123.104509639523,336.6929540309288
11.46,300,-123.09911437110735,336.6866511422888
11.48,300,-123.09374760279036,336.68038153999237
11.5,300,-123.08840923775814,336.67414512106166
11.52,300,-123.08309920942392,336.66794182334064
11.54,300,-123.0778172519198,336.66177131457385
11.56,300,-123.07256321681768,336.6556334214807
11.58,300,-123.06733695643504,336.64952797166734
11.6,300,-123.0621383238293,336.6434547936202
11.62,300,-123.05696717279218,336.63741371670005
11.64,300,-123.05182335784409,336.6314045711356
11.66,300,-123.04670673422828,336.625427188017
11.68,300,-123.04161715790566,336.61948139929035
11.7,300,-123.03655448554866,336.613567037751
11.72,300,-123.03151857453594,336.60768393703734
11.74,300,-123.02650928294656,336.6018319316245
11.76,300,-123.02152646955439,336.5960108568187
11.78,300,-123.01656999382256,336.59022054875044
11.8,300,-123.01163971589769,336.5844608443685
11.82,300,-123.00673549660434,336.57873158143354
11.84,300,-123.00185719743935,336.57303259851255
11.86,300,-122.99700468056616,336.56736373497193
11.88,300,-122.99217780880922,336.5617248309714
11.9,300,-122.9873764456484,336.55611572745795
11.92,300,-122.98260045521317,336.55053626615955
11.94,300,-122.97784970227715,336.54498628957936
11.96,300,-122.97312405225242,336.5394656409887
11.98,300,-122.96842337118382,336.53397416442124
12,300,-122.96374752574334,336.5285117046672
12.02,300,-122.95909638322462,336.52307810726654
12.04,300,-122.95446981153701,336.5176732185029
12.06,300,-122.94986767920024,336.5122968853977
12.08,300,-122.94528985533857,336.5069489557033
12.1,300,-122.94073620967532,336.5016292778976
12.12,300,-122.93620661252703,336.4963377011772
12.14,300,-122.93170093479806,336.4910740754514
12.16,300,-122.92721904797477,336.4858382513362
12.18,300,-122.92276082411985,336.4806300801473
12.2,300,-122.91832620844838,336.47544947488944
12.22,300,-122.91391515910702,336.4702963596471
12.24,300,-122.9095274201624,336.4651704788127
12.26,300,-122.90516286765032,336.4600716878899
12.28,300,-122.90082137821352,336.4549998431013
12.3,300,-122.89650282909695,336.4499548013816
12.32,300,-122.89220709814259,336.44493642037384
12.34,300,-122.88793406378538,336.4399445584227
12.36,300,-122.88368360504786,336.4349790745699
12.38,300,-122.87945560153572,336.430039828548
12.4,300,-122.87524993343294,336.425126680775
12.42,300,-122.87106648149707,336.4202394923497
12.44,300,-122.86690512705445,336.4153781250452
12.46,300,-122.86276575199547,336.410542441304
12.48,300,-122.85864823876975,336.4057323042323
12.5,300,-122.8545524703814,336.40094757759465
12.52,300,-122.85047833038442,336.3961881258084
12.54,300,-122.84642570287767,336.3914538139383
12.56,300,-122.84239447250029,336.38674450769116
12.58,300,-122.83838452442693,336.38206007340983
12.6,300,-122.83439574436284,336.37740037806844
12.62,300,-122.83042801853941,336.3727652892665
12.64,300,-122.82648123370909,336.36815467522337
12.66,300,-122.82255527714078,336.36356840477316
12.68,300,-122.81865003661508,336.3590063473588
12.7,300,-122.81476540041959,336.3544683730272
12.72,300,-122.8109012573439,336.3499543524229
12.74,300,-122.80705749667511,336.3454641567834
12.76,300,-122.80323400819296,336.34099765793337
12.78,300,-122.79943068216504,336.336554728279
12.8,300,-122.79564740934202,336.33213524080287
12.82,300,-122.79188408095305,336.32773906905817
12.84,300,-122.78814058870078,336.3233660871634
12.86,300,-122.78441682475672,336.31901616979707
12.88,300,-122.7807126817565,336.3146891921916
12.9,300,-122.77702822584311,336.3103851814723
12.92,300,-122.77336350324963,336.306104147497
12.94,300,-122.7697181409658,336.3018457336089
12.96,300,-122.76609203693695,336.29760982026534
